id_transaccion,id_cliente,monto,fecha,id_tienda
1,195,1446.03,04/04/2023,78
2,387,1722.80,09-13-2022,74
3,949,4026.44,2023-06-16,20
4,60,2056.83,2022-07-23,19
5,914,5492.69,27/09/2020,58
6,117,2521.51,05-11-2022,6
7,214,2537.47,14/08/2021,17
8,330,3512.49,12-11-2023,30
9,274,2646.90,2021-10-27,59
10,1066,2111.17,2023-06-04,19
11,268,2572.50,12-20-2023,48
12,294,2842.41,2020-09-26,25
13,447,5161.46,15/12/2020,6
14,1196,1971.32,03/08/2022,65
15,621,494.21,05-17-2021,20
16,877,6532.42,05-28-2021,60
17,877,7797.59,"Oct 08, 2023",61
18,211,5296.03,2020-04-25,44
19,146,2837.98,12-08-2021,51
20,267,5884.77,30/06/2020,41
21,931,4604.03,2021-05-09,20
22,199,1673.70,2020-08-06,57
23,1095,4949.16,10/05/2020,34
24,922,6058.67,2020-08-30,3
25,821,3115.58,2020-06-17,8
26,301,3344.01,2021-06-13,69
27,241,3386.96,03-10-2020,59
28,930,8435.87,"Jun 14, 2020",70
29,1147,1579.44,2020-08-07,11
30,240,6159.25,"Feb 14, 2020",36
31,1106,1916.89,01-31-2022,73
32,200,6915.09,02/09/2022,62
33,14,3336.99,06-08-2022,56
34,844,5344.05,2023-08-25,22
35,890,8355.10,2023-11-24,36
36,721,3832.21,2022-02-28,68
37,671,3856.11,20/02/2021,14
38,798,129.87,2022-10-01,28
39,1048,5390.25,07/06/2021,35
40,756,3995.92,22/01/2021,1
41,1048,3957.04,"Apr 27, 2023",71
42,265,2919.95,2022-10-06,43
43,865,5481.88,01-22-2020,46
44,423,1947.32,2023-07-29,10
45,324,3076.05,"Dec 10, 2022",5
46,115,2492.97,"Feb 27, 2022",46
47,1174,8539.92,05/12/2022,44
48,237,8154.02,2021-12-04,6
49,183,9510.89,2021-07-09,2
50,1011,3609.43,2020-09-04,54
51,153,4681.97,2023-04-10,73
52,1136,1561.54,2020-10-13,65
53,689,3216.79,2021-11-10,64
54,979,1731.00,2021-11-08,21
55,875,3101.54,2020-11-26,38
56,830,3313.05,20/02/2022,79
57,169,4597.72,07-30-2023,52
58,155,1384.90,01-15-2021,2
59,916,6912.08,01-19-2021,4
60,632,5698.15,2021-08-09,29
61,915,6435.83,2020-07-13,11
62,288,9588.36,2020-11-22,14
63,36,1338.65,12-07-2023,34
64,416,1342.40,2022-09-19,41
65,839,7878.25,27/10/2023,42
66,1014,3403.10,01/03/2023,68
67,884,7314.56,10-17-2021,52
68,443,3175.27,2022-12-07,46
69,235,6221.26,12-17-2020,59
70,1073,1221.25,11-15-2022,79
71,1165,8156.07,2022-12-30,43
72,443,3388.73,21/03/2023,3
73,547,9176.75,03-04-2020,48
74,1181,3529.61,10-25-2023,77
75,404,3944.42,2020-10-22,20
76,964,4584.04,2022-10-28,70
77,818,1808.95,27/11/2020,80
78,129,8725.50,2021-10-04,2
79,130,5167.18,09-13-2021,27
80,981,5926.80,2020-05-06,69
81,1028,6892.22,2021-08-11,42
82,283,7972.08,11-14-2021,33
83,123,4783.20,"Feb 01, 2021",19
84,39,4352.31,15/09/2023,24
85,693,1823.29,02-28-2020,41
86,1148,4423.95,04/03/2021,19
87,947,2060.36,2022-10-22,57
88,371,4929.11,01-21-2021,71
89,289,2807.97,2020-01-17,20
90,569,4595.88,2023-03-31,29
91,153,1155.22,14/03/2022,24
92,920,4729.74,"Aug 10, 2023",4
93,620,8652.23,29/01/2022,52
94,842,8172.50,11-07-2023,41
95,248,9156.87,10-25-2022,38
